"Eden Ventures","eden-ventures"
"Burda Digital Ventures","burda-digital-ventures"
"Straub Ventures","straub-ventures"
"Gemstar-TV Guide International","gemstar-tv-guide-international"
"Monashees Capital","monashees-capital"
"ONSET Ventures","onset-ventures"
"Alloy Ventures","alloy-ventures"
"AllianceBernstein","alliancebernstein"
"Citigroup","citigroup"
"Societe Generale","societe-generale"
"Company2Company Ventures","company2company-ventures"
"MIH Group (Naspers)","mih-group-naspers"
"HV Holtzbrinck Ventures","holtzbrinck-ventures"
"Corporate Executive Board","corporate-executive-board"
"Fluke Venture Partners","fluke-venture-partners"
"Montlake Capital ","buerk-dale-victor"
"SoftBank Capital","softbank-capital"
"Canaan Partners","canaan-partners-3"
"Castile Ventures","castile-ventures"
"Point Judith Capital","point-judith-capital"
"CramerOnline","crameronline"
"Inflection Point Ventures","inflection-point-ventures"
"Massachusetts Technology Development Corporation","massachusetts-technology-development-corporation"
"SAS Investors","sas-investors"
"Venture Capital Fund of New England","venture-capital-fund-of-new-england"
"GE Commercial Finance","ge-commercial-finance"
"Brookside Capital","brookside-capital"
"Maverick Capital","maverick-capital"
"Ackerley Partners","ackerley-partners"
"Azure Capital Partners","azure-capital-partners"
"Authosis Ventures","authosis-ventures"
"Valhalla Partners","valhalla-partners"
"Idealab","idealab"
"Movida Group","movida-group"
"Evergreen Venture Partners","evergreen-venture-partners"
"TransCosmos","transcosmos"
"Audax Ventures","audax-ventures"
"CMGI @Ventures","cmgi-ventures"
"The Entrepreneurs' Fund III","the-entrepreneurs-fund-iii"
"Nauta Capital","nauta-capital"
"Steelpoint Capital Partners","steelpoint-capital-partners"
"Nordic Venture Partners","nordic-venture-partners"
"Draper Richards","draper-richards"
"North Bridge Venture Partners","north-bridge-venture-partners"
"MentorTech Ventures","mentortech-ventures"
"Carmel Ventures","carmel-ventures"
"Global Catalyst Partners","global-catalyst-partners"
"Morgenthaler Ventures","morgenthaler-ventures"
"Oak Investment Partners","oak-investment-partners"
"OSEO Innovation","oseo-innovation"
"The Aurora Funds","the-aurora-funds"
"Chrysalis Ventures","chrysalis-ventures"
"Kline Hawkes & Co","kline-hawkes-and-co"
"Westlake Venture Partners","westlake-venture-partners"
"Constellation Ventures","constellation-ventures"
"Venture Frogs","venture-frogs"
"Spectrum Equity","spectrum-equity-investors"
"Stripes Group","stripes-group"
"TA Associates","ta-associates"
"Signature Capital","signature-capital"
"DAG Ventures","dag-ventures"
"Meritage Funds","meritage-private-equity"
"New Millenium Partners","new-millenium-partners"
"PacRim Venture Partners","pacrim-venture-partners"
"Staenberg Venture Partners","staenberg-venture-partners"
"Masthead Venture Partners","masthead-venture-partners"
"Constantin Partners","constantin-partners"
"RRE Ventures","rre-ventures"
"Anschutz Investment","anschutz-investment"
"Omni Capital","omni-capital"
"Polaris Partners","polaris-partners"
"Southern Capitol Ventures","southern-capitol-ventures"
"Arts Alliance Ventures","arts-alliance-ventures"
"WaterView Partners","waterview-partners"
"Chengwei Ventures","chengwei-ventures"
"Sarofim Fayez and Co.","sarofim-fayez-and-co"
"Technology Crossover Ventures","technology-crossover-ventures"
"Tuputele Ventures","tuputele-ventures"
"LRG Capital Group","lrg-capital-group"
"Hercules Technology Growth Capital","hercules-technology-growth"
"Monitor Ventures","monitor-ventures"
"Incubic Venture Fund","incubic-venture-fund"
"Matrix Partners","matrix-partners"
"Thorner Ventures","thorner-ventures"
"Outcome Capital","wwc-capital-fund"
"Allegiance Capital","allegiance-capital"
"Roman Holdings","roman-holdings"
"ABS Ventures","abs-ventures"
"DB Capital Ventures","db-capital-ventures"
"Dominion Ventures","dominion-ventures"
"Enterprise Partners","enterprise-partners"
"Hambrecht EU Capital","hambrecht-eu-capital"
"KB Partners","kb-partners"
"Kettle Partners","kettle-partners"
"Outlook Ventures","outlook-ventures"
"William Blair New World Ventures","william-blair-new-world-ventures"
"Aplix Corp","aplix-corp"
"Mitsubishi UFJ Capital","mitsubishi-ufj-capital"
"Nomura Securities","nomura-securities"
"Sterling Stamos Capital Mgmt","sterling-stamos-capital-mgmt"
"Pivotal Private Equity","pivotal-private-equity"
"Core Capital Partners","core-capital-partners"
"Impact Venture Partners","impact-venture-partners"
"Comdisco Ventures","comdisco-ventures"
"Upstart Capital","upstart-capital"
"Pilot Group","pilot-group"
"Summerhill Venture Partners","summerhill-venture-partners"
