"Wetpaint","wetpaint","web"
"AdventNet","adventnet","enterprise"
"Zoho","zoho","software"
"Digg","digg","web"
"Photobucket, Inc.","photobucket","web"
"Omnidrive","omnidrive","network_hosting"
"Postini","postini","web"
"Geni","geni","web"
"Flektor","flektor","games_video"
"Fox Interactive Media","fox-interactive-media","web"
"Twitter","twitter","web"
"StumbleUpon","stumbleupon","web"
"Gizmoz","gizmoz","web"
"Scribd","scribd","search"
"Slacker","slacker","games_video"
"Lala","lala","games_video"
"Helio","helio","mobile"
"Wis.dm","wis-dm","network_hosting"
"MeetMoi","meetmoi","mobile"
"Joost","joost","games_video"
"Babelgum","babelgum","games_video"
"Plaxo","plaxo","web"
"Powerset","powerset","search"
"Technorati","technorati","advertising"
"SpinVox","spinvox","software"
